"Horodatage","Geschlecht","Alter","Ausbildung","Deutsch...5","Hunde, die bellen, beißen nicht.","Eine Krähe hackt der andern kein Auge aus.","Die Katze lässt das Mausen nicht.","Geduld bringt Rosen.","Es fällt keine Eiche vom ersten Streiche.","Ein fauler Apfel steckt hundert an.","Schwein haben","jemandem einen Esel bohren","ein alter Hase sein","jemanden auf die Palme bringen","für jemanden die Kastanien aus dem Feuer holen","etwas durch die Blume sagen","1.     Eine Schwalbe macht noch ...","2.  Den Eseln, die das Korn zur Mühle tragen,  ...","3. Der Katzen Scherz ist …","4. Ein rollender Stein setzt ...","5. Unter Dornen wachsen ...","6. Wer das Laub fürchtet, bleibe ...","7. jemanden auf den Hund ...","8. arm sein wie eine ...","9. aus einer Mücke einen …","10. jemandem Rosen auf den Weg ...","11.  die Lorbeeren ...","12.  in die Binsen ...","Nennen Sie die zwei Phraseologismen (hier Sprichwörter und/oder sprichwörtliche Redensarten) mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Nennen Sie die drei Sprichwörter mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Geben Sie die drei sprichwörtlichen Redensarten mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","1.  Wer Gerste säen will, muss es den Hühnern nicht erzählen.","2. Einem geschenkten Gaul sieht man nicht ins Maul.","3. Eine schöne Blume steht nicht lange am Wege.","4. Keine Rose ohne Dornen.","5. Eulen nach Athen tragen","4. Perlen vor die Säue streuen","5. im Gerstenfeld mit seinen Gedanken sein","...40","6. bekannt sein wie ein gescheckter Hund","10. schlafen wie Dachs","1. Wer eine Elster ausschickt, dem kommt ein bunter Vogel wieder.","2. Lieber den Spatz in der Hand als eine Taube auf dem Dach.","3. Ein Esel schimpft den anderen Langohr.","4.  Ein fauler Apfel steckt hundert an.","5.  in den Nesseln sitzen","6.  jemanden hinter die Fichte führen","Deutsch...49","...50","Frage 1: 
Nennen Sie die zwei Phraseologismen mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Bitte notieren Sie hier Ihre E-Mail-Adresse, wenn Sie an den Ergebnissen der Befragung interessiert sind.","Wie gut kennen Sie die folgenden Sprichwörter und sprichwörtlichen Redensarten?","...54","6.  jmdn. hinter die Fichte führen","7","...57"
2023-07-17 15:56:12,"weiblich","25-34 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","nicht gut bekannt","gut bekannt","unbekannt","gut bekannt","gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt",NA,NA,NA,"setzt kein Moos an","Rosen",NA,NA,"Maus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"kenne ich nicht","wenn etwas geschenkt wird, hinterfragt man nicht, wie gut das Geschenk ist (undankbar)","eine schöne Blume (etwas schönes) wird schnell gepflückt",NA,NA,"Verschwendung","geistesabwesend sein",NA,"kenne ich nicht",NA,NA,NA,NA,NA,NA,NA,NA,NA,"wo der Fuchs und der Hase einander gute Nacht sagen / besser den Spatz in der Hand als die Taube auf dem Dach",NA,NA,NA,NA,NA,NA
2023-07-17 20:00:31,"weiblich","18-24 Jahre","Abitur/Matura","Muttersprache","gut bekannt","nicht gut bekannt","unbekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,"der Mäuse Tod","kein Moos an","Rosen","aus dem Walde","kommen","Kirchenmaus","Elefanten machen","streuen","ernten",NA,NA,NA,NA,"nicht alles den anderen erzählen und unter die Nase reiben","dankbar sein mit jedem Geschenk, es nicht hinterfragen oder bewerten","Schönheit verführt",NA,NA,"jemandem etwas Schönes geben wollen, der das aber nicht schätzt","viel nachdenken",NA,"alle kennen die Person",NA,NA,"besser den Spatz in der Hand als eine Taube auf dem Dach",NA,"ein fauler Apfel verdirbt den ganzen Korb","sich in die Nesseln setzen","jemanden hinter das Licht führen",NA,NA,"einen Frosch im Hals haben, die Katze aus dem Sack lassen",NA,NA,NA,NA,NA,NA
2024-03-24 09:34:48,"männlich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","unbekannt","kenne ich nicht","kenne ich nicht","keine Ahnung","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","streuen","einheimsen","hauen",NA,NA,NA,"ich weiss nicht","Etwas Kostenloses ist nicht nachzuprüfen.","Die schönen Dinge sind schnell vergeben.","-","etwas machen, das keine Bedeutung hat.","-","keine Ahnung",NA,"sehr erkennbar sein","faul sein","kenne ich nicht","Der Spatz in der Hand ist besser als eine Taube auf dem Dach.","Ein Esel schilt den anderen Sackträger.","Ein fauler Apfel steckt hundert gesunde an.","Das weiss ich nicht","Das weiss ich auch nicht",NA,NA,"eine Eselsbrücke bauen & den Bock zum Gärtber machen",NA,NA,NA,NA,NA,NA
2023-07-19 21:28:43,"weiblich","35-44 Jahre","Promotion","Muttersprache","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,"bringen","Kirchenmaus","Elefanten","streuen","einheimsen",NA,NA,NA,NA,"Unbekannt",NA,"Unbekannt",NA,NA,"Etwas lohnt sich nicht, wird verschwendet","Unbekannt",NA,"Eine Person, die über ihr Umfeld hinaus seht bekannt ist.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1) Der Apfel fällt nicht weit vom Stamm. 2) jemand hat Schwein.",NA,NA,NA,NA,NA,NA
2023-07-17 14:42:23,"männlich","35-44 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","nicht gut bekannt","gut bekannt","nicht gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt",NA,NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen",NA,"einstecken",NA,NA,NA,NA,NA,"Man hinterfragt das Geschenk nicht.",NA,NA,NA,"Jemandem etwas geben, zeigen etc., welches dann nicht wertgeschätzt wird.","abgelenkt, zerstreut sein?",NA,"Sehr bekannt, sehr auffällig sein, sich geben.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fleissig wie eine Biene sein/Besser ein Heringskopf als gar nichts.",NA,NA,NA,NA,NA,NA
2023-07-17 18:38:22,"weiblich","25-34 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","unbekannt","gut bekannt","nicht gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt",NA,NA,NA,NA,"Rosen",NA,NA,"Maus","Elefanten machen","legen","verdienen",NA,NA,NA,NA,"Bin mir nicht sicher. Vielleicht, dass man Leute nicht informieren sollte, über etwas, wovon si profitieren könnten, wenn man selber davon profitieren möchte.","Etwas, dass man geschenkt bekommt, sollte nicht genauer nachgeschaut oder hinterfragt werden.","Weiss nicht.",NA,NA,"Etwas Gutes verschwenden oder nicht Acht geben.","Verloren sein mit den Gedanken, bzw. sich nicht erinnern oder tagträumen",NA,"Weiss nicht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Durch die Blume gesagt"" ""Gras rauchen""",NA,NA,NA,NA,NA,NA
2024-03-18 15:28:39,"weiblich","25-34 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Frühling","unbekannt","der Mäuse Tod","keine Ahnung","Rosen","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"Wer Erfolg haben will, soll den anderen seine Pläne nicht sagen.","An einem Geschenk soll man nicht mäkeln.","Eine schöne Frau bzw. Sache wird man schnell nehmen.","Jedes Ding hat seinen Schatten.","-","-","keine Ahnung",NA,"-","tief schlafen","keine Ahnung","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","Ein Esel nennt den anderen Langohr.","keine Ahnung","keine Ahnung","jemanden hinters Licht führen",NA,NA,"Wer dem Fuchs glaubt, wird betrogen. den Wald vor lauter Bäumen nicht sehen",NA,NA,NA,NA,NA,NA
2023-07-17 14:49:48,"weiblich","25-34 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen",NA,NA,NA,NA,NA,NA,"kenne ich nicht","wenn man etwas geschenkt bekommt (muss nicht ein wirkliches Geschenk sein, kann sich auch um irgendeinen Vorteil oder so handeln), soll man das nicht genauer hinterfragen","kenne ich nicht",NA,NA,"Wenn man jemandem etwas gibt / sagt, der das gar nicht zu schätzen weiss oder nichts damit anfangen kann. Wie eben Säue mit Perlen.","kenne ich nicht",NA,"Sehr bekannt sein, auffallen",NA,"kenne ich nicht","Lieber einen Spatz nah bei mir als eine Taube etwas weiter weg.","kenne ich nicht","Ein fauler Apfel zerstört den ganzen Baum","kenne ich nicht","kenne ich nicht",NA,NA,"Einen Kater haben & jemanden als Lauch bezeichnen",NA,NA,NA,NA,NA,NA
2023-07-21 16:20:45,"weiblich","25-34 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","nicht gut bekannt","gut bekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","keinen Sommer",NA,"der Mäuse Schmerz","kein Moos an.","Rosen.",NA,"gehen","Kirchenmaus","Elefanten machen","streuen","einheimsen","gehen",NA,NA,NA,"wenn etwas gut werden soll, sollte es nicht herumerzählt werden","ein Geschenk annehmen und nicht darüber nörgeln","Schöne Dinge sollte man schützen, vielleicht auch etwas zur Partnerwahl…",NA,NA,"Etwas Wertvolles vergeuden","kenne ich nicht, könnte aber sowiel wie „lost“ bedeuten",NA,"aufgrund einer markanten Auffälligkeit weitum bekannt sein",NA,"weiss ich nicht","Lieber den Spatz in der Hand als die Taube auf dem Dach.","weiss nicht","Ein fauler Apfel steckt hundert weitere an.","auf glühenden Kohlen sitzen","jemanden an der Nase herum führen",NA,NA,"Lieber ein Spatz in der Hand, als eine Taube auf dem Dach. / Das schläckt e kei Geiss eweg",NA,NA,NA,NA,NA,NA
2024-04-03 14:28:20,"weiblich","35-44 Jahre","Sekundarabschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Frühling","Das weiss ich nicht.","-","-","Rosen","-","bringen","-","Elefanten machen","-","-","kommen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sehr gut bekannt sein","schlafen wie Siebenschläfer",NA,NA,NA,NA,NA,"jemanden hinters Licht führen",NA,NA,"Einem geschenkten Gaul schaut man nicht ins Maul. / jemandem einen Bären aufbinden",NA,NA,NA,NA,NA,NA
2024-02-09 20:50:02,"männlich","45-54 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","-","der Mäuse Tod","kein Moos an","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"Ein Geheimnis muss nicht kommuniziert werden",NA,"Gute Dinge ziehen sich nicht lange auf dem Markt hin.","Gute Sachen haben auch Schattenseiten","etwas Unnötiges betreiben","die Zeit für nichts verbringen","-",NA,"von allen bekannt sein","gemütlich schlafen","-","-",NA,NA,"-","jemanden hinters Licht führen",NA,NA,"Butter bei die Fische geben/ Schwein haben",NA,NA,NA,NA,NA,NA
2024-03-29 20:22:46,"weiblich","25-34 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","kenne ich nicht","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","unbekannt","der Mäuse Tod","kein Moos an","Rosen","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","kommen",NA,NA,NA,"-","-","--","-","-","-","-",NA,"gut bekannt","fest schlafen","-","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","-",".","keine Ahnung","keine Ahnung",NA,NA,"jemandem ein Kuckucksei ins Nest legen / Keine Rose ohne Dornen.",NA,NA,NA,NA,NA,NA
2023-07-17 11:59:20,"männlich","25-34 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","nicht gut bekannt","unbekannt","unbekannt","nicht gut bekannt","nicht gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer.",NA,NA,"tausende in Bewegung.","Rosen.",NA,NA,"Kirchenmaus","Elefanten machen",NA,"ernten",NA,NA,NA,NA,"Man erzählt jemand drittem nicht was mach vor hat, damit dieser nichts dagegen sagen kann.","Man beschwert sich nicht über Geschenke.","Nicht gehört/gebraucht.",NA,NA,"Etwas gutes an jemanden geben, der es nicht wertschätzt/nicht verdient hat.","Nicht gehört.",NA,"Jeder kennt die Person oder das Phänomen.",NA,NA,NA,NA,NA,"In den Dornen sitzen.",NA,NA,NA,"Butter bei die Fische.

Der Apfel fällt nicht weit vom Stamm.",NA,NA,NA,NA,NA,NA
2024-02-11 21:02:40,"männlich","55-64 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","keine Ahnung","der Mäuse Tod","kein Moos an","Rosen","zu Hause","bringen","Kirchenmaus","Elefanten machen","werfen","ernten","hauen",NA,NA,NA,"Es ist beser vorsichtig zu sein.","Man nimmt ein Geschenk unkritisch an.","Die Schönheit ist rasch vergeben.","Das Glück ist mittels harter Abrbeit zu erreichen.","Überfluss machen","unsinnig schaffen","geistesabwesend sein",NA,"sehr gut bekannt sein","tief und fest schlafen",NA,NA,NA,NA,"sich in die Nesseln setzen","keine Ahnung",NA,NA,"einen Bärenhunger haben / jemadem einen Bären aufbinden",NA,NA,NA,NA,NA,NA
2024-02-10 16:11:38,"weiblich","65 und älter","Master-Abschluss","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","-","der Mäuse Tod","kein Moos an","Rosen","zuhause","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"Man soll nicht allen seinen Plan verraten.","Der Mensch ist nicht zu prüfen das, was er gratis bekommen hat.","eine hübsche Frau ist schnell vergeben.","kein Glück ohne Mühe","unwichtig machen","Wertloses machen","-",NA,"beliebt sein","immer schläfrig sein",NA,"keine Ahnung","-","-","in den Nesseln sein","jemanden hinters Licht führen",NA,NA,"Der Fisch stinkt vom Kopf. / die Katze im Sack kaufen",NA,NA,NA,NA,NA,NA
2024-04-19 17:34:04,"männlich","25-34 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt",NA,"sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,NA,NA,NA,NA,NA,"Elefanten machen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Der Apfel fällt nicht weit vom Stamm. & Auch ein blindes Huhn findet mal ein Korn.",NA,NA,NA,NA,NA,NA
